gene_symbol,legacy_variability_bin
ATRNL1,2
ATRX,2
ATXN1,3
ATXN10,1
ATXN1L,6
ATXN2,4
ATXN2L,0
ATXN7,2
ATXN7L1,3
ATXN7L2,4
ATXN7L3,1
AUH,8
AUNIP,3
AUP1,2
AURKA,2
AURKAIP1,6
AURKB,0
AURKC,0
AUTS2,6
AVEN,6
AVIL,2
AVL9,6
AVPI1,7
AVPR1A,2
AVPR2,3
AXDND1,8
AXIN1,2
AXIN2,4
AXL,9
AZGP1,5
AZI2,6
AZIN1,3
AZIN2,6
B2M,9
B3GALNT2,4
B3GALT1,1
B3GALT2,9
B3GALT5,6
B3GALT6,8
B3GAT2,6
B3GAT3,4
B3GLCT,0
B3GNT2,6
B3GNT3,0
B3GNT4,6
B3GNT5,6
B3GNT9,7
B3GNTL1,9
B4GALNT1,6
B4GALNT3,4
B4GALNT4,1
B4GALT1,3
B4GALT2,3
B4GALT3,3
B4GALT4,3
B4GALT5,2
B4GALT6,6
B4GALT7,4
B4GAT1,7
B9D1,9
BAALC,0
BAAT,0
BABAM1,3
BABAM2,6
BACE1,4
BACE2,1
BACH1,4
BACH2,4
BAD,2
BAG1,0
BAG2,6
BAG3,0
BAG4,4
BAG5,4
BAG6,4
BAHCC1,0
BAHD1,4
BAIAP2,6
BAIAP2L1,3
BAIAP2L2,2
BAIAP3,9
BAK1,1
BAMBI,0
BANK1,1
BANP,7
BAP1,1
BARD1,0
BARHL2,9
BARX1,3
BARX2,4
BASP1,6
BATF2,3
BATF3,3
BAX,6
BAZ1A,2
BAZ1B,9
BAZ2A,7
BAZ2B,0
BBOF1,9
BBOX1,9
BBS10,2
BBS12,6
BBS2,0
BBS5,1
BBS7,0
BBS9,9
BBX,3
BCAM,4
BCAN,4
BCAP29,6
BCAP31,0
BCAR1,6
BCAR3,1
BCAS1,6
BCAS2,0
BCAS3,6
BCAT1,6
BCAT2,1
BCCIP,6
BCDIN3D,2
BCHE,7
BCKDHB,0
BCKDK,7
BCL10,4
BCL11A,6
BCL11B,2
BCL2,6
BCL2A1,7
BCL2L1,7
BCL2L11,4
BCL2L13,3
BCL2L14,6
BCL2L15,2
BCL3,6
BCL6,2
BCL6B,4
BCL7A,3
BCL7B,5
BCL7C,1
BCL9,2
BCL9L,4
BCLAF1,8
BCLAF3,4
BCO2,0
BCOR,7
BCORL1,1
BCR,9
BCS1L,3
BDH1,4
BDH2,6
BDKRB2,2
BDNF,9
BDP1,9
BEAN1,6
BECN1,4
BEGAIN,4
BEND3,6
BEND4,1
BEND6,9
BEND7,3
BEST2,4
BET1,0
BET1L,2
BEX3,4
BEX4,1
BEX5,9
BFAR,4
BFSP1,2
BGN,4
BHLHA15,8
BHLHB9,4
BHLHE40,3
BHMT,6
BICC1,6
BICD1,6
BICD2,4
BICDL1,6
BICDL2,3
BICRAL,6
BID,1
BIN1,8
BIN2,6
BIN3,3
BIRC2,6
BIRC3,7
BIRC6,1
BLCAP,3
BLK,0
BLM,7
BLMH,6
BLNK,3
BLOC1S2,9
BLOC1S3,8
BLOC1S4,9
BLOC1S5,0
BLOC1S6,6
BLVRA,2
BLVRB,0
BLZF1,2
BMERB1,0
BMF,0
BMI1,3
BMP1,2
BMP2,6
BMP2K,7
BMP3,4
BMP4,4
BMP5,2
BMP6,4
BMP7,7
BMPER,7
BMPR1A,9
BMPR1B,1
BMPR2,4
BMS1,3
BMT2,0
BMX,2
BNC1,2
BNC2,6
BNIP1,8
BNIP2,7
BNIP3,7
BNIP5,2
BNIPL,4
BOC,6
BOD1L1,4
BOLA1,0
BOLA3,6
BOLL,0
BORA,1
BORCS5,2
BORCS6,1
BORCS8,0
BPGM,6
BPHL,0
BPI,4
BPIFB2,1
BPIFB3,1
BPIFB4,2
BPIFC,6
BPNT1,2
BPTF,8
BRAF,6
BRAP,6
BRCA1,8
BRCA2,4
BRCC3,6
BRD1,0
BRD2,4
BRD3,6
BRD4,4
BRD7,4
BRD8,4
BRD9,2
BRF1,4
BRF2,2
BRI3,9
BRICD5,8
BRINP1,8
BRINP2,9
BRINP3,3
BRIP1,6
BRIX1,6
BRK1,1
BRMS1,6
BRMS1L,7
BROX,6
BRPF1,7
